state,time_of_day,rain_or_wet,fog,night_evidence,highway,bus_involved,lorry_truck,car_involved,two_wheeler,head_on,rear_end,collision,severity
Tamil Nadu,Unknown,0,0,0,1,1,0,1,0,0,0,1,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,1,1,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Fatal
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,1,Fatal
Tamil Nadu,Unknown,0,0,0,0,0,0,1,0,0,0,0,Fatal
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,1,0,0,Fatal
Tamil Nadu,Unknown,0,0,0,1,1,0,0,0,0,0,1,Fatal
Tamil Nadu,Unknown,0,0,0,0,0,0,1,0,0,0,1,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,1,1,0,0,0,1,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Fatal
Tamil Nadu,Unknown,0,0,0,0,1,1,0,0,0,0,1,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,1,0,0,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,1,0,0,0,0,0,0,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,1,1,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,1,0,0,1,0,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,1,1,0,0,0,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,1,0,0,0,1,0,0,1,Serious
Tamil Nadu,Evening,0,0,0,1,0,0,1,0,0,0,1,Serious
Tamil Nadu,Night,0,0,1,0,0,1,1,0,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,0,0,1,1,0,0,0,1,Fatal
Tamil Nadu,Morning,0,0,0,1,0,1,0,1,0,0,1,Serious
Tamil Nadu,Night,0,0,1,1,0,1,0,1,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Fatal
Tamil Nadu,Evening,0,0,0,0,0,0,1,0,0,0,0,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,0,Minor/Reported Injury
Tamil Nadu,Unknown,0,0,0,1,0,0,1,0,0,0,1,Serious
Andhra Pradesh,Unknown,0,0,0,0,0,0,0,1,0,0,1,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,1,Fatal
Tamil Nadu,Unknown,0,0,0,0,1,1,1,1,1,0,1,Serious
Tamil Nadu,Evening,0,0,0,0,0,1,1,0,0,0,1,Serious
Tamil Nadu,Evening,0,0,0,1,1,0,0,0,0,0,0,Serious
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,1,Fatal
Tamil Nadu,Unknown,0,0,0,0,0,0,0,0,0,0,1,Fatal
Tamil Nadu,Unknown,0,0,0,1,0,0,0,0,0,0,1,Fatal
